TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Southeast,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,141816020,1530,  600      E  111TH                        PL
Southeast,BATTERY - SIMPLE ASSAULT,141816024,1100,  700         CALIBURN                     DR
Southeast,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141816027,1120, 1200      E  115TH                        ST
Southeast,BRANDISH WEAPON,141816031,1420,  100      E  109TH                        ST
Southeast,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141816034,1920, 9000         STANFORD                     AV
Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),141816036,1500, 1500      E  111TH                        ST
Southeast,BATTERY - SIMPLE ASSAULT,141816037,2225, 1600      E  92ND                         ST
Southeast,BATTERY - SIMPLE ASSAULT,141816038,2225, 1600      E  92ND                         ST
Southeast,VEHICLE - STOLEN,141816040,1800,              107TH
Southeast,VEHICLE - STOLEN,141816041,1900,  900      E  LANZIT                       AV
Southeast,ROBBERY,141816044,2230,  900      E  COLDEN                       AV
Southeast,ROBBERY,141816045,1730,  400      E  IMPERIAL                     HY
Southeast,BURGLARY,141816046,2330, 1100      E  101ST                        ST
Southeast,BURGLARY FROM VEHICLE,141816047,2300,  300      W  120TH                        ST
Southeast,BURGLARY FROM VEHICLE,141816048,1800, 8600      S  AVALON                       BL
Southeast,VEHICLE - STOLEN,141816050,2000, 1100      E  CENTURY                      BL
Southeast,THEFT PLAIN - ATTEMPT,141816053,1500,  500      W  91ST                         ST
Southeast,VIOLATION OF RESTRAINING ORDER,141816054,2130,16300      S  ORCHARD                      AV
Southeast,TRAFFIC DR #,141816060,2020,              92ND                         ST
Southeast,TRAFFIC DR #,141816063,2045,              107TH                        ST
Southeast,BATTERY - SIMPLE ASSAULT,141816067,1030,10000         GRAPE                        ST
Southeast,BATTERY - SIMPLE ASSAULT,141816068,1030,10000         GRAPE                        ST
Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141816070,1700,10900         ANZAC                        AV
